service,requests,avg_processing_days,resolved_requests,citizen_satisfaction,digital_adoption_pct,staff_count,resolution_rate_pct,requests_per_staff,service_efficiency_score
Street Light,241,1.74,153,4.94,78.6,5,63.5,48.2,141.7
Property Tax,485,1.07,291,3.56,32.8,11,60.0,44.09,65.48
Water Complaint,309,6.34,465,4.74,57.1,6,150.5,51.5,64.25
Property Tax,390,3.53,458,3.42,59.5,10,117.4,39.0,67.68
Property Tax,343,5.22,175,3.18,80.6,4,51.0,85.75,25.04
Income Certificate,310,8.7,439,4.01,47.1,18,141.6,17.22,30.74
Water Complaint,495,2.97,322,4.07,42.5,4,65.1,123.75,37.91
Water Complaint,254,4.37,123,4.62,35.5,17,48.4,14.94,18.16
Water Complaint,291,7.37,287,2.84,59.1,5,98.6,58.2,22.46
Property Tax,229,2.79,276,3.6,76.8,19,120.5,12.05,119.41
Street Light,335,1.47,168,3.8,34.0,18,50.1,18.61,44.03
Water Complaint,252,3.32,370,4.35,92.2,8,146.8,31.5,177.34
Pension Request,247,2.2,136,2.32,60.1,24,55.1,10.29,34.92
Property Tax,276,8.89,84,4.98,46.3,6,30.4,46.0,7.88
Income Certificate,377,7.83,393,3.52,36.4,13,104.2,29.0,17.05
Street Light,406,6.31,26,2.98,42.4,18,6.4,22.56,1.28
Pension Request,92,8.38,409,4.67,93.6,24,444.6,3.83,231.91
Pension Request,319,7.79,328,4.29,73.4,14,102.8,22.79,41.55
Income Certificate,449,2.42,278,4.87,65.1,24,61.9,18.71,81.09
Street Light,256,8.57,164,3.13,74.7,4,64.1,64.0,17.49
Property Tax,291,5.49,61,3.75,59.6,10,21.0,29.1,8.55
Birth Certificate,227,7.82,184,3.8,79.6,18,81.1,12.61,31.37
Street Light,419,8.6,33,4.94,33.2,18,7.9,23.28,1.51
Income Certificate,80,3.57,257,2.41,68.5,21,321.2,3.81,148.53
Pension Request,196,1.76,123,3.06,40.8,17,62.8,11.53,44.55
Property Tax,54,2.78,171,2.73,38.2,23,316.7,2.35,118.8
Street Light,340,4.52,328,2.95,53.2,14,96.5,24.29,33.51
Birth Certificate,104,7.92,232,3.56,36.2,20,223.1,5.2,36.3
Birth Certificate,384,8.29,155,3.24,36.4,18,40.4,21.33,5.75
Water Complaint,366,0.86,428,3.31,51.2,5,116.9,73.2,230.36
Water Complaint,48,5.24,176,4.56,96.6,13,366.7,3.69,308.26
Income Certificate,383,4.43,78,4.8,41.9,10,20.4,38.3,9.26
Street Light,168,2.73,144,2.4,31.2,20,85.7,8.4,23.51
Street Light,175,1.84,185,2.78,81.9,13,105.7,13.46,130.79
Pension Request,102,3.74,432,4.08,84.9,10,423.5,10.2,392.24
Pension Request,178,9.0,140,3.2,53.5,8,78.7,22.25,14.97
Pension Request,120,3.61,99,2.91,61.6,15,82.5,8.0,40.97
Water Complaint,431,5.31,137,3.03,74.2,21,31.8,20.52,13.46
Street Light,202,6.92,444,3.1,33.3,20,219.8,10.1,32.79
